playerID,nameFirst,nameLast,bats,throws,walks,hits,ab,singles,doubles,triples,hr,hbp,sacf,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,mfp,firstyear,inducted
hendeda01,Dave,Henderson,R,R,465,1324,5130,824,286,17,197,22,41,710,708,50,121,36,36,99,3334,55,1,NULL,NULL,1,3,1538,CF,2000,0
wittmi01,Mike,Witt,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,298,147,23,0,NULL,NULL,NULL,NULL,341,PITCHER,1999,0
parrila01,Larry,Parrish,R,R,529,1789,6792,1140,360,33,256,42,56,850,992,30,45,8,14,1978,1700,195,2,NULL,NULL,NULL,NULL,1891,3B,1994,0
hillejo01,John,Hiller,R,L,3,11,101,10,1,0,0,0,0,2,4,0,0,0,5,136,45,8,0,0,0,1,NULL,546,PITCHER,1986,0
howelro02,Roy,Howell,L,R,318,991,3791,697,183,31,80,23,24,422,454,9,19,2,9,1676,757,141,1,NULL,NULL,NULL,1,1112,3B,1990,0
candito01,Tom,Candiotti,R,R,7,35,299,30,5,0,0,1,1,11,12,0,0,0,3,437,230,18,NULL,NULL,NULL,NULL,NULL,453,PITCHER,2005,0
tudorjo01,John,Tudor,L,L,17,59,384,50,7,2,0,0,1,22,18,1,17,0,11,321,85,11,NULL,0,0,1,2,289,PITCHER,1996,0
sandbry01,Ryne,Sandberg,R,R,761,2386,8385,1625,403,76,282,34,71,1318,1061,344,39,15,10,6648,3892,120,10,1,9,NULL,NULL,2164,2B,2003,1
sexsori01,Richie,Sexson,R,R,588,1286,4928,703,260,17,306,52,36,748,943,14,14,1,9,950,9838,61,2,NULL,NULL,NULL,1,1367,1B,2014,0
clarkwi02,Will,Clark,L,L,937,2176,7173,1405,440,47,284,59,101,1186,1205,67,117,39,31,1294,16695,136,6,0,1,NULL,1,1976,1B,2006,0
sutclri01,Rick,Sutcliffe,L,R,34,102,562,75,22,1,4,2,5,42,55,4,8,4,3,404,211,17,2,0,0,1,1,466,PITCHER,2000,0
abbotji01,Jim,Abbott,L,L,0,2,21,2,0,0,0,0,0,0,3,0,NULL,NULL,NULL,300,72,9,NULL,0,0,NULL,NULL,263,PITCHER,2005,0
gilesbr02,Brian,Giles,L,L,1183,1897,6527,1144,411,55,287,51,70,1121,1078,109,77,16,29,95,3447,71,2,NULL,NULL,NULL,2,1847,RF,2015,0
niekrjo01,Joe,Niekro,R,R,38,152,973,124,26,1,1,1,6,55,72,1,5,0,4,532,253,25,0,0,0,1,NULL,706,PITCHER,1994,0
mulhote01,Terry,Mulholland,R,L,13,69,619,53,13,1,2,1,1,26,23,1,2,0,15,385,114,51,1,NULL,NULL,NULL,3,687,PITCHER,2012,0
glavito02,Tom,Glavine,L,L,101,246,1323,218,25,2,1,2,3,93,90,1,59,10,36,856,262,26,6,0,0,1,4,709,PITCHER,2014,1
vizquom01,Omar,Vizquel,B,R,1028,2877,10586,2264,456,77,80,49,94,1445,951,404,228,57,57,8050,4268,190,3,0,11,NULL,2,2968,SS,2018,0
gullibi01,Bill,Gullickson,R,R,20,81,576,62,16,0,3,0,2,30,27,0,6,0,3,277,185,16,NULL,NULL,NULL,NULL,NULL,398,PITCHER,2000,0
posadjo01,Jorge,Posada,B,R,936,1664,6092,1000,379,10,275,74,47,900,1065,20,416,103,125,715,10207,92,5,0,0,5,2,1829,CATCHER,2017,0
conceda01,Dave,Concepcion,R,R,736,2326,8723,1788,389,48,101,21,86,993,950,321,101,30,34,7024,4245,326,7,0,5,2,2,2488,SS,1994,0
anderga01,Garret,Anderson,L,L,429,2529,8640,1684,522,36,287,8,87,1084,1365,80,147,36,36,109,4057,48,3,0,0,1,NULL,2228,LF,2016,0
kennejo03,John,Kennedy,R,R,142,475,2110,349,77,17,32,25,11,237,185,14,6,1,6,1456,886,115,NULL,NULL,NULL,1,1,856,3B,1980,0
hoernjo01,Joe,Hoerner,R,L,2,6,59,4,1,0,1,0,0,2,3,0,2,1,5,57,19,8,0,NULL,NULL,1,1,493,PITCHER,1983,0
alleyge01,Gene,Alley,R,R,300,999,3927,760,140,44,55,27,22,442,342,63,27,1,10,3641,1879,166,1,0,2,1,NULL,1195,SS,1979,0
rhoderi01,Rick,Rhoden,R,R,17,181,761,134,38,0,9,0,5,58,75,0,4,1,4,386,173,6,1,0,0,1,3,427,PITCHER,1995,0
reynosh01,Shane,Reynolds,R,R,14,77,546,57,15,0,5,2,1,34,43,0,8,1,5,287,121,9,0,NULL,NULL,NULL,NULL,306,PITCHER,2010,0
rudijo01,Joe,Rudi,R,R,369,1468,5556,963,287,39,179,35,51,684,810,25,140,36,38,159,4167,41,3,0,3,3,NULL,1547,LF,1988,0
carewro01,Rod,Carew,L,R,1018,3053,9315,2404,445,112,92,25,64,1424,1015,353,50,11,14,3709,13510,260,15,1,0,NULL,NULL,2469,1B,1991,1
vanslan01,Andy,Van Slyke,L,R,667,1562,5711,1014,293,91,164,27,61,835,792,245,100,19,31,262,3923,55,2,0,5,NULL,1,1658,CF,2001,0
mcdowsa01,Sam,McDowell,L,L,16,119,774,108,7,2,2,1,4,34,36,0,NULL,NULL,NULL,328,80,33,4,0,0,NULL,NULL,429,PITCHER,1981,0
reeseri01,Rich,Reese,L,L,158,512,2020,370,73,17,52,20,16,248,245,16,19,3,5,269,4109,36,NULL,NULL,NULL,NULL,1,866,1B,1979,0
jonesan01,Andruw,Jones,R,R,891,1933,7599,1080,383,36,434,97,71,1204,1289,152,238,65,76,125,4986,50,4,0,10,NULL,2,2196,CF,2018,0
woodwi01,Wilbur,Wood,R,L,20,27,322,25,2,0,0,1,0,11,13,1,NULL,NULL,NULL,523,84,14,1,0,0,NULL,NULL,651,PITCHER,1984,0
murreiv01,Ivan,Murrell,R,R,44,308,1306,219,41,15,33,9,5,126,123,20,NULL,NULL,NULL,42,921,25,NULL,NULL,NULL,NULL,NULL,564,LF,1980,0
lanieha01,Hal,Lanier,R,R,136,843,3703,704,111,20,8,4,19,297,273,11,1,0,1,3408,2041,140,NULL,NULL,NULL,NULL,NULL,1196,SS,1979,0
ryanno01,Nolan,Ryan,R,R,38,94,852,80,10,2,2,0,2,40,36,3,16,3,9,547,220,90,5,0,0,1,NULL,807,PITCHER,1999,1
cirilje01,Jeff,Cirillo,R,R,563,1598,5396,1122,343,21,112,67,59,800,727,63,6,2,4,2703,1371,126,2,NULL,NULL,NULL,NULL,1617,3B,2013,0
flanami01,Mike,Flanagan,L,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,430,89,11,0,0,0,1,1,529,PITCHER,1998,0
perraro01,Ron,Perranoski,L,L,10,16,167,14,1,1,0,0,0,6,3,0,1,0,10,222,45,18,NULL,0,0,2,1,737,PITCHER,1979,0
kisonbr01,Bruce,Kison,R,R,16,66,404,43,15,5,3,3,1,31,31,2,7,0,10,297,140,16,NULL,NULL,NULL,2,NULL,388,PITCHER,1991,0
mcdowja01,Jack,McDowell,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,245,139,13,3,0,0,NULL,1,277,PITCHER,2005,0
hornebo01,Bob,Horner,R,R,369,1047,3777,652,169,8,218,16,50,560,685,14,11,1,3,1440,3641,117,1,0,0,NULL,NULL,1020,3B,1994,0
vaughgr01,Greg,Vaughn,R,R,865,1475,6103,813,284,23,355,37,54,1017,1072,121,41,9,14,65,2518,38,2,0,0,NULL,1,1731,LF,2009,0
phillto02,Tony,Phillips,B,R,1319,2023,7617,1453,360,50,160,42,63,1300,819,177,46,10,13,3491,3564,236,NULL,NULL,NULL,1,1,2161,2B,2005,0
mitchke01,Kevin,Mitchell,R,R,491,1173,4134,690,224,25,234,27,42,630,760,30,80,23,23,566,1676,86,2,1,0,1,2,1223,LF,2004,0
jonesra01,Randy,Jones,R,L,22,79,599,71,8,0,0,0,2,37,20,1,NULL,NULL,NULL,465,114,18,2,0,0,NULL,NULL,319,PITCHER,1988,0
koosmje01,Jerry,Koosman,R,L,33,109,915,94,12,1,2,2,2,36,46,1,17,3,7,582,116,42,2,NULL,NULL,1,1,612,PITCHER,1991,0
seleaa01,Aaron,Sele,R,R,3,9,58,7,2,0,0,0,0,5,1,0,0,0,7,233,119,21,1,NULL,NULL,1,NULL,404,PITCHER,2013,0
downibr01,Brian,Downing,R,R,1197,2099,7853,1436,360,28,275,129,70,1188,1073,50,61,12,16,373,4881,51,1,NULL,NULL,NULL,NULL,2344,DH,1998,0
gibsoki01,Kirk,Gibson,L,L,718,1553,5798,984,260,54,255,61,56,985,870,284,78,22,21,41,2523,63,NULL,1,0,2,NULL,1635,LF,2001,0
gantro01,Ron,Gant,R,R,770,1651,6449,978,302,50,321,32,57,1080,1008,243,189,43,52,642,3203,114,2,0,0,NULL,2,1832,LF,2009,0
kendaja01,Jason,Kendall,R,R,721,2195,7627,1691,394,35,75,254,63,1030,744,189,49,11,12,990,13067,149,3,NULL,NULL,NULL,NULL,2085,CATCHER,2016,0
bakerdu01,Dusty,Baker,R,R,762,1981,7117,1396,320,23,242,30,85,964,1013,137,149,42,40,136,4073,59,2,0,1,1,2,2039,LF,1992,0
mesajo01,Jose,Mesa,R,R,1,0,2,0,0,0,0,0,0,1,0,0,0,0,27,197,112,17,1,0,0,NULL,2,1023,PITCHER,2013,0
wagnebi02,Billy,Wagner,L,L,1,2,20,2,0,0,0,0,0,1,1,0,0,0,14,86,33,5,5,0,0,NULL,NULL,854,PITCHER,2016,0
torrejo01,Joe,Torre,R,R,779,2342,7874,1687,344,59,252,85,50,996,1185,23,NULL,NULL,NULL,1731,11618,169,8,1,1,NULL,NULL,2209,CATCHER,1983,1
rojasco01,Cookie,Rojas,R,R,396,1660,6309,1327,254,25,54,20,59,713,593,74,13,4,5,3965,3466,134,4,0,0,NULL,NULL,1822,2B,1983,0
blakeca01,Casey,Blake,R,R,445,1186,4500,737,264,18,167,72,47,644,616,36,103,24,27,1753,1706,125,NULL,NULL,NULL,NULL,NULL,1265,3B,2017,0
winnra01,Randy,Winn,B,R,526,1759,6186,1223,367,59,110,53,55,863,662,215,NULL,NULL,NULL,78,3687,31,1,NULL,NULL,NULL,NULL,1717,CF,2016,0
burrepa01,Pat,Burrell,R,R,932,1393,5503,786,299,16,292,31,54,767,976,7,97,18,31,114,2478,59,NULL,NULL,NULL,2,NULL,1640,LF,2017,0
mcraeha01,Hal,McRae,R,R,648,2091,7218,1350,484,66,191,79,85,940,1097,109,143,42,48,84,887,41,3,0,0,1,3,2084,DH,1993,0
dobsopa01,Pat,Dobson,R,R,11,39,317,35,4,0,0,1,0,13,12,0,2,0,6,289,142,19,0,NULL,NULL,1,1,414,PITCHER,1983,0
olerujo01,John,Olerud,L,L,1275,2239,7592,1471,500,13,255,88,96,1139,1230,11,237,66,66,1418,16165,82,2,0,3,2,NULL,2234,1B,2011,0
fieldce01,Cecil,Fielder,R,R,693,1313,5157,787,200,7,319,43,46,744,1008,2,63,18,19,694,7382,70,3,0,0,1,NULL,1470,1B,2004,0
huffau01,Aubrey,Huff,L,R,571,1699,6104,1073,360,24,242,48,63,806,904,37,65,16,25,921,5159,85,NULL,0,0,2,NULL,1681,1B,2018,0
matthga01,Gary,Matthews,R,R,940,2011,7147,1407,319,51,234,21,62,1083,978,183,65,21,19,135,3226,112,1,0,0,NULL,1,2033,LF,1993,0
lowenjo01,John,Lowenstein,L,R,446,881,3476,610,137,18,116,9,30,510,441,128,38,10,17,376,1803,43,NULL,NULL,NULL,1,1,1368,LF,1991,0
handsbi01,Bill,Hands,R,R,39,37,472,31,6,0,0,1,2,19,19,0,NULL,NULL,NULL,297,140,24,NULL,NULL,NULL,NULL,NULL,374,PITCHER,1981,0
freehbi01,Bill,Freehan,R,R,626,1591,6073,1115,241,35,200,114,48,706,758,24,36,5,10,813,11235,81,8,0,5,1,NULL,1774,CATCHER,1982,0
saxst01,Steve,Sax,R,R,556,1949,6940,1570,278,47,54,24,37,913,550,444,87,24,26,4817,3617,190,5,0,0,2,NULL,1769,2B,2000,0
bellbu01,Buddy,Bell,R,R,836,2514,8995,1832,425,56,201,38,80,1151,1106,55,NULL,NULL,NULL,5009,2196,262,5,0,6,NULL,NULL,2405,3B,1995,0
dunstsh01,Shawon,Dunston,R,R,203,1597,5927,1093,292,62,150,41,49,736,668,212,51,14,27,3808,2722,215,1,0,0,NULL,1,1814,SS,2008,0
kennete02,Terry,Kennedy,L,R,365,1313,4979,944,244,12,113,16,39,474,628,6,65,13,19,638,6754,108,3,0,0,NULL,2,1491,CATCHER,1997,0
leonaje01,Jeffrey,Leonard,R,R,342,1342,5045,938,223,37,144,23,58,614,723,163,27,10,10,81,2191,62,2,0,0,NULL,1,1415,LF,1996,0
gwynnto01,Tony,Gwynn,L,L,790,3141,9288,2378,543,85,135,24,85,1383,1138,319,108,33,27,160,4512,62,13,0,5,NULL,2,2440,RF,2007,1
mcgrifr01,Fred,McGriff,L,L,1305,2490,8757,1532,441,24,493,39,71,1349,1550,72,188,57,50,1447,18985,167,5,0,0,1,1,2460,1B,2010,0
kneppbo01,Bob,Knepper,L,L,41,115,840,79,28,2,6,2,9,47,59,2,6,0,3,451,103,30,2,NULL,NULL,NULL,1,449,PITCHER,1996,0
ceyro01,Ron,Cey,R,R,1012,1868,7162,1203,328,21,316,62,82,977,1139,24,161,42,45,4019,1555,224,6,0,0,1,3,2073,3B,1993,0
guillca01,Carlos,Guillen,B,R,510,1331,4673,890,266,51,124,22,44,733,660,74,61,21,19,2888,1972,165,2,NULL,NULL,NULL,1,1305,SS,2017,0
richajr01,J. R.,Richard,R,R,4,93,552,70,10,3,10,2,3,39,50,2,NULL,NULL,NULL,195,113,20,1,NULL,NULL,NULL,NULL,239,PITCHER,1986,0
menkede01,Denis,Menke,R,R,698,1270,5071,904,225,40,101,46,65,605,606,34,49,8,15,3688,3108,218,2,NULL,NULL,NULL,1,1598,SS,1980,0
barrji01,Jim,Barr,R,R,15,83,513,65,15,2,1,4,1,28,31,2,1,0,1,388,148,26,NULL,NULL,NULL,NULL,NULL,481,PITCHER,1989,0
dierkla01,Larry,Dierker,R,R,12,107,789,89,14,0,4,1,4,38,46,0,NULL,NULL,NULL,287,152,23,1,NULL,NULL,NULL,NULL,357,PITCHER,1983,0
alouma01,Matty,Alou,L,L,311,1777,5789,1460,236,50,31,36,29,780,427,156,69,16,21,176,3794,71,2,0,0,1,1,1667,CF,1980,0
sanguma01,Manny,Sanguillen,R,R,223,1500,5062,1173,205,57,65,23,44,566,585,35,103,29,29,575,6646,105,1,0,0,2,NULL,1448,CATCHER,1986,0
castilu01,Luis,Castillo,B,R,800,1889,6510,1608,194,59,28,12,26,1001,443,370,82,18,20,4484,3287,124,3,0,3,2,NULL,1720,2B,2016,0
santajo01,Johan,Santana,L,L,9,40,248,26,12,1,1,0,0,11,9,0,0,0,11,232,98,19,3,0,1,NULL,NULL,360,PITCHER,2018,0
piazzmi01,Mike,Piazza,R,R,759,2127,6911,1348,344,8,427,30,45,1048,1335,17,120,29,32,768,11347,132,11,0,0,NULL,1,1912,CATCHER,2013,1
perezto01,Tony,Perez,R,R,925,2732,9778,1769,505,79,379,43,106,1272,1652,49,172,41,47,2440,15127,240,7,0,0,2,3,2777,1B,1992,1
larusto01,Tony,LaRussa,R,R,23,35,176,28,5,2,0,1,2,15,7,0,NULL,NULL,NULL,127,112,10,NULL,NULL,NULL,NULL,NULL,132,2B,2014,1
brettge01,George,Brett,L,R,1096,3154,10349,2035,665,137,317,33,120,1583,1596,201,166,56,43,3984,5503,292,10,1,1,1,1,2707,3B,1999,1
stearjo01,John,Stearns,R,R,323,696,2681,488,152,10,46,25,30,334,312,91,NULL,NULL,NULL,520,4059,75,3,NULL,NULL,NULL,NULL,810,CATCHER,1990,0
decindo01,Doug,DeCinces,R,R,618,1505,5809,927,312,29,237,21,64,778,879,58,89,24,23,3344,1483,206,1,0,0,NULL,2,1649,3B,1993,0
riceji01,Jim,Rice,R,R,670,2452,8225,1618,373,79,382,64,94,1249,1451,58,71,16,18,137,3103,66,7,1,0,NULL,2,2089,LF,1995,1
singlke01,Ken,Singleton,B,R,1263,2029,7189,1441,317,25,246,17,60,985,1065,21,57,19,17,82,2684,57,3,0,0,1,1,2082,RF,1990,0
mondera01,Raul,Mondesi,R,R,475,1589,5814,950,319,49,271,41,37,909,860,229,32,7,10,112,2932,76,1,0,2,NULL,1,1525,RF,2011,0
stottme01,Mel,Stottlemyre,R,R,47,120,749,93,14,6,7,4,4,54,57,0,8,1,3,570,242,26,4,0,0,NULL,1,366,PITCHER,1980,0
saberbr01,Bret,Saberhagen,R,R,13,23,190,19,4,0,0,0,0,13,1,0,8,0,10,415,203,24,2,0,1,1,NULL,403,PITCHER,2007,0
strawda01,Darryl,Strawberry,L,L,816,1401,5418,772,256,38,335,38,53,898,1000,221,126,32,40,76,2515,62,6,0,0,4,NULL,1583,RF,2005,0
nolanga01,Gary,Nolan,R,R,38,73,529,59,9,4,1,0,1,36,32,0,14,1,11,189,95,3,0,0,0,2,2,252,PITCHER,1983,0
palmeji01,Jim,Palmer,R,R,16,85,489,72,9,1,3,0,1,52,41,1,35,3,20,577,292,34,5,0,4,3,3,576,PITCHER,1990,1
bucknbi01,Bill,Buckner,L,L,450,2715,9397,1994,498,49,174,42,97,1077,1208,183,98,20,23,1379,15126,146,1,NULL,NULL,NULL,2,2517,1B,1996,0
davisma01,Mark,Davis,L,L,8,26,167,18,3,4,1,0,0,16,9,1,NULL,NULL,NULL,151,29,16,2,0,0,1,2,625,PITCHER,2003,0
pinielo01,Lou,Piniella,R,R,368,1705,5867,1257,305,41,102,31,61,651,766,32,141,43,44,106,2546,52,1,0,0,2,2,1747,LF,1990,0
niekrph01,Phil,Niekro,R,R,17,260,1537,210,42,1,7,12,12,80,109,0,3,0,2,878,386,37,2,0,5,NULL,NULL,866,PITCHER,1993,1
coneda01,David,Cone,L,R,16,64,412,55,9,0,0,3,1,28,22,0,16,3,21,271,220,28,5,0,0,5,NULL,451,PITCHER,2009,0
wilsowi02,Willie,Wilson,B,R,425,2207,7731,1738,281,147,41,62,35,1169,585,668,150,40,38,76,5060,67,2,0,1,1,1,2154,CF,2000,0
northji01,Jim,Northrup,L,R,449,1254,4692,841,218,42,153,30,29,603,610,39,42,12,12,73,2715,55,NULL,NULL,NULL,1,NULL,1392,RF,1981,0
geronce01,Cesar,Geronimo,L,L,354,977,3780,715,161,50,51,31,25,460,392,82,120,20,36,81,2901,35,NULL,0,4,2,1,1522,CF,1989,0
mattido01,Don,Mattingly,L,L,588,2153,7003,1469,442,20,222,21,96,1007,1099,14,24,10,5,1121,14270,68,6,1,9,NULL,NULL,1785,1B,2001,0
fiskca01,Carlton,Fisk,R,R,849,2356,8756,1512,421,47,376,143,79,1276,1330,128,54,14,14,1075,11612,165,10,0,1,NULL,1,2499,CATCHER,1999,1
fernaal01,Alex,Fernandez,R,R,9,22,126,11,8,0,3,0,1,7,14,0,3,0,4,297,125,15,NULL,NULL,NULL,1,NULL,266,PITCHER,2006,0
rivermi01,Mickey,Rivers,L,L,266,1660,5629,1281,247,71,61,22,35,785,499,267,120,37,29,95,3150,61,1,0,0,2,1,1468,CF,1990,0
hebneri01,Richie,Hebner,L,R,687,1694,6144,1161,273,57,203,74,67,865,890,38,100,27,30,2564,4308,207,NULL,NULL,NULL,1,NULL,1908,3B,1991,0
walkela01,Larry,Walker,L,R,913,2160,6907,1244,471,62,383,138,65,1355,1311,230,100,23,28,213,3976,57,5,1,7,NULL,1,1988,RF,2011,0
wiseri01,Rick,Wise,R,R,27,130,668,89,21,5,15,3,3,60,66,0,2,0,3,504,206,13,1,NULL,NULL,NULL,1,511,PITCHER,1988,0
plesada01,Dan,Plesac,L,L,0,1,15,1,0,0,0,0,0,0,0,0,0,0,1,100,9,3,3,NULL,NULL,NULL,NULL,1064,PITCHER,2009,0
rodriiv01,Ivan,Rodriguez,R,R,513,2844,9592,1910,572,51,311,58,76,1354,1332,127,153,39,40,1233,14922,143,14,1,13,1,1,2543,CATCHER,2017,1
aloumo01,Moises,Alou,R,R,737,2134,7037,1342,421,39,332,48,82,1109,1287,106,134,37,34,95,3114,65,6,0,0,1,NULL,1942,LF,2014,0
baergca01,Carlos,Baerga,B,R,291,1583,5439,1153,279,17,134,73,66,731,774,59,65,19,15,3501,2634,169,3,0,0,NULL,1,1630,2B,2011,0
hernawi01,Willie,Hernandez,L,L,1,13,63,11,2,0,0,0,0,4,3,2,0,0,10,169,58,4,2,1,0,1,1,747,PITCHER,1995,0
grichbo01,Bobby,Grich,R,R,1087,1833,6890,1242,320,47,224,86,50,1033,864,104,88,16,24,5891,4882,189,6,0,4,1,1,2008,2B,1992,0
delgaca01,Carlos,Delgado,L,R,1109,2038,7283,1064,483,18,473,172,93,1241,1512,14,37,13,10,1067,15236,131,2,0,0,1,NULL,2035,1B,2015,0
timlimi01,Mike,Timlin,R,R,0,0,7,0,0,0,0,0,0,0,0,0,0,0,46,188,101,14,NULL,0,0,4,NULL,1059,PITCHER,2014,0
cabreor01,Orlando,Cabrera,R,R,514,2055,7562,1441,459,32,123,32,90,985,854,216,149,34,37,5445,3023,198,NULL,0,2,1,NULL,1985,SS,2017,0
brownga01,Gates,Brown,L,R,242,582,2262,401,78,19,84,15,21,330,322,30,3,0,4,23,693,17,NULL,NULL,NULL,1,NULL,1051,LF,1981,0
perryga01,Gaylord,Perry,R,R,22,141,1076,118,17,0,6,6,3,48,47,0,4,1,2,877,349,38,5,0,0,NULL,1,787,PITCHER,1989,1
matsuhi01,Hideki,Matsui,L,R,547,1253,4442,817,249,12,175,21,46,656,760,13,205,64,56,41,1326,24,2,0,0,1,1,1236,LF,2018,0
brocklo01,Lou,Brock,L,L,761,3023,10332,2247,486,141,149,49,46,1610,900,938,87,34,21,142,4394,196,5,0,0,2,1,2616,LF,1985,1
brosisc01,Scott,Brosius,R,R,348,1001,3889,652,200,8,141,47,41,544,531,57,196,48,58,1821,1219,119,1,0,1,3,1,1146,3B,2007,0
rogerke01,Kenny,Rogers,L,L,4,9,66,7,1,1,0,0,0,5,4,1,4,1,12,743,258,44,3,0,5,1,1,763,PITCHER,2014,0
randowi01,Willie,Randolph,R,R,1243,2210,8018,1775,316,65,54,38,64,1239,687,271,162,36,47,6339,4859,237,5,0,0,2,3,2202,2B,1998,0
reussje01,Jerry,Reuss,L,L,69,171,1024,145,24,1,1,1,2,71,58,1,19,0,11,603,170,42,2,NULL,NULL,1,NULL,631,PITCHER,1996,0
downial01,Al,Downing,R,L,37,91,717,74,12,3,2,0,2,36,51,0,5,0,6,368,72,18,1,NULL,NULL,2,4,409,PITCHER,1983,0
hennemi01,Mike,Henneman,R,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,83,55,9,0,NULL,NULL,NULL,NULL,561,PITCHER,2002,0
honeyri01,Rick,Honeycutt,L,L,18,24,182,21,3,0,0,0,0,13,9,1,1,0,30,428,99,32,1,NULL,NULL,1,2,801,PITCHER,2003,0
disarga01,Gary,Disarcina,R,R,154,966,3744,732,186,20,28,36,21,444,355,47,NULL,NULL,NULL,3197,1648,131,1,NULL,NULL,NULL,NULL,1086,SS,2006,0
boonebr01,Bret,Boone,R,R,552,1775,6683,1129,366,28,252,69,73,927,1021,94,118,34,31,4594,3445,117,2,0,4,NULL,1,1780,2B,2011,0
boonebo01,Bob,Boone,R,R,663,1838,7245,1404,303,26,105,20,78,679,826,38,106,33,36,1185,11325,183,4,0,7,1,NULL,2264,CATCHER,1996,0
whitede03,Devon,White,B,R,541,1934,7344,1277,378,71,208,87,47,1125,846,346,189,56,49,97,4739,71,3,0,7,3,NULL,1941,CF,2007,0
garneph01,Phil,Garner,R,R,564,1594,6136,1104,299,82,109,34,59,780,738,225,68,21,21,4356,2746,259,3,NULL,NULL,3,NULL,1860,2B,1994,0
stottto01,Todd,Stottlemyre,L,R,28,50,242,41,7,1,1,0,0,23,11,1,7,0,15,261,166,18,NULL,0,0,2,NULL,373,PITCHER,2008,0
isrinja01,Jason,Isringhausen,R,R,5,21,104,14,4,1,2,1,2,11,16,0,0,0,23,144,62,17,1,NULL,NULL,1,1,724,PITCHER,2018,0
robinbi02,Bill,Robinson,R,R,263,1127,4364,703,229,29,166,16,49,536,641,71,24,5,12,267,3336,73,NULL,NULL,NULL,1,1,1472,LF,1989,0
garvest01,Steve,Garvey,R,R,479,2599,8835,1844,440,43,272,29,90,1143,1308,83,222,75,55,1434,19004,130,10,1,4,1,4,2332,1B,1993,0
maddoga01,Garry,Maddox,R,R,323,1802,6331,1286,337,62,117,36,60,777,754,248,107,29,29,94,4449,78,NULL,0,8,1,1,1749,CF,1992,0
parkeda01,Dave,Parker,L,R,683,2712,9358,1772,526,75,339,56,86,1272,1493,154,111,26,30,152,3949,144,6,1,3,2,1,2466,RF,1997,0
lansfca01,Carney,Lansford,R,R,553,2074,7158,1551,332,40,151,64,77,1007,874,224,128,39,33,2847,2098,153,1,0,0,1,2,1862,3B,1998,0
wittbo01,Bobby,Witt,R,R,2,9,64,5,3,0,1,0,1,2,5,0,0,0,4,294,148,30,NULL,NULL,NULL,1,NULL,438,PITCHER,2007,0
